curso,periodo,inscritos,vagas,demanda,ano,semestre,unidade,lon,lat,curso_resumido,unidade_pad,code_muni,name_muni,code_state,abbrev_state
Farmácia,Noite,97,40,2.42,2025,1,etec-amim-jundi,-50.8763566,-21.7919056,Farmácia,etec-amim-jundi,3534609,Osvaldo Cruz,35,SP
Informática,Noite,88,40,2.2,2025,1,etec-amim-jundi,-50.8763566,-21.7919056,Informática,etec-amim-jundi,3534609,Osvaldo Cruz,35,SP
Logística,Noite,62,40,1.55,2025,1,etec-amim-jundi,-50.8763566,-21.7919056,Logística,etec-amim-jundi,3534609,Osvaldo Cruz,35,SP
Meio Ambiente,Noite,62,40,1.55,2025,1,etec-amim-jundi,-50.8763566,-21.7919056,Meio Ambiente,etec-amim-jundi,3534609,Osvaldo Cruz,35,SP
Redes de Computadores,Noite,60,40,1.5,2025,1,etec-amim-jundi,-50.8763566,-21.7919056,Redes de Computadores,etec-amim-jundi,3534609,Osvaldo Cruz,35,SP
Segurança do Trabalho,Noite,77,40,1.92,2025,1,etec-amim-jundi,-50.8763566,-21.7919056,Segurança do Trabalho,etec-amim-jundi,3534609,Osvaldo Cruz,35,SP
Administração,Noite,47,40,1.17,2025,1,etec-angelo-cavalheiro,-47.607809,-21.2013547,Administração,etec-angelo-cavalheiro,3551504,Serrana,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec,Manhã,225,80,2.81,2025,1,etec-angelo-cavalheiro,-47.607809,-21.2013547,Administração,etec-angelo-cavalheiro,3551504,Serrana,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Química - MTec,Tarde,127,80,1.58,2025,1,etec-angelo-cavalheiro,-47.607809,-21.2013547,Química,etec-angelo-cavalheiro,3551504,Serrana,35,SP
Farmácia,Noite,53,40,1.32,2025,1,etec-angelo-cavalheiro,-47.607809,-21.2013547,Farmácia,etec-angelo-cavalheiro,3551504,Serrana,35,SP
Administração,Noite,50,40,1.25,2025,1,etec-antonio-de-padua-cardoso,-47.5860797,-20.899979,Administração,etec-antonio-de-padua-cardoso,3505906,Batatais,35,SP
Desenvolvimento de Sistemas,Noite,38,40,0.95,2025,1,etec-antonio-de-padua-cardoso,-47.5860797,-20.899979,Desenvolvimento de Sistemas,etec-antonio-de-padua-cardoso,3505906,Batatais,35,SP
Enfermagem,Tarde,67,40,1.67,2025,1,etec-antonio-de-padua-cardoso,-47.5860797,-20.899979,Enfermagem,etec-antonio-de-padua-cardoso,3505906,Batatais,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Administração - MTec-PI,Manhã e Tarde,73,40,1.82,2025,1,etec-antonio-de-padua-cardoso,-47.5860797,-20.899979,Administração,etec-antonio-de-padua-cardoso,3505906,Batatais,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Desenvolvimento de Sistemas - MTec-PI,Manhã e Tarde,63,40,1.57,2025,1,etec-antonio-de-padua-cardoso,-47.5860797,-20.899979,Desenvolvimento de Sistemas,etec-antonio-de-padua-cardoso,3505906,Batatais,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Informática para Internet - MTec,Tarde,33,40,0.82,2025,1,etec-antonio-de-padua-cardoso,-47.5860797,-20.899979,Informática para Internet,etec-antonio-de-padua-cardoso,3505906,Batatais,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Mecânica - MTec-PI,Manhã e Tarde,80,40,2,2025,1,etec-antonio-de-padua-cardoso,-47.5860797,-20.899979,Mecânica,etec-antonio-de-padua-cardoso,3505906,Batatais,35,SP
Ensino Médio com Habilitação Profissional de Técnico em Recursos Humanos - MTec,Manhã,104,40,2.6,2025,1,etec-antonio-de-padua-cardoso,-47.5860797,-20.899979,Recursos Humanos,etec-antonio-de-padua-cardoso,3505906,Batatais,35,SP
