lon,lat,unidade
-47.5462716,-24.6711605,etec-engenheiro-agronomo-narciso-de-medeiros-cozinha-escola-de-alimentos-da-prefeitura-de-iguape-iguape
-47.4580618,-24.2823321,etec-engenheiro-agronomo-narciso-de-medeiros-emef-diogo-ribeiro-miracatu
-47.5462716,-24.6711605,etec-engenheiro-agronomo-narciso-de-medeiros
-50.7317419,-21.9186019,etec-engenheiro-herval-bellusci-ee-aguia-de-haia
-51.1326318,-21.7032943,etec-engenheiro-herval-bellusci-emef-dr-irineu-buller-almeida-bastos
-51.1326318,-21.7032943,etec-engenheiro-herval-bellusci-fatec-de-adamantina
-51.1326318,-21.7032943,etec-engenheiro-herval-bellusci
-46.9848946,-22.7042274,etec-euro-albino-de-souza-em-professor-jose-roberto-chiavegato-bita-jaguariuna
-46.9305946,-22.344363,etec-euro-albino-de-souza
-47.4711936,-23.5117797,etec-fernando-prestes-ee-joao-climaco-de-camargo-pires
-47.6019977,-23.5083114,etec-fernando-prestes-em-cie-profo-osmar-giacomelli-aracoiaba-da-serra
-47.4711936,-23.5117797,etec-fernando-prestes-fatec-jose-crespo-gonzales
-47.4711936,-23.5117797,etec-fernando-prestes
-47.3154843,-22.8035256,etec-ferrucio-humberto-gazzetta
-47.00837139999999,-21.4840412,etec-francisco-garcia-fatec-mococa-mario-roberson-de-sylos
-47.00837139999999,-21.4840412,etec-francisco-garcia
-49.9658133,-20.417763,etec-frei-arnaldo-maria-de-itaporanga
-46.612268,-23.5893243,etec-getulio-vargas-ee-professor-roldao-lopes-de-barros
-46.612268,-23.5893243,etec-getulio-vargas
-46.7490081,-23.4008429,etec-gildo-marcal-bezerra-brandao-ceu-perus
-46.7490081,-23.4008429,etec-gildo-marcal-bezerra-brandao
-46.8255186,-23.3476316,etec-gino-rezaghi
-46.6971418,-23.562361,etec-guaracy-silveira
-47.9160473,-22.5405925,etec-gustavo-teixeira
-46.6893217,-23.7027395,etec-irma-agostina-ceu-cidade-dutra
-46.6603211,-23.7439169,etec-irma-agostina-ceu-navegantes
-46.6893217,-23.7027395,etec-irma-agostina-ceu-vila-rubi-jornalista-alexandre-kadunc
-46.6893217,-23.7027395,etec-irma-agostina
-46.4669331,-23.5443909,etec-itaquera-ii
-49.869132,-22.9708637,etec-jacinto-ferreira-de-sa-ee-virginia-ramalho
-49.8961666,-22.9507677,etec-jacinto-ferreira-de-sa-fatec-de-ourinhos
-49.88032724548456,-22.979705153245384,etec-jacinto-ferreira-de-sa
-46.725694,-23.4426428,etec-jaragua
-46.7659416,-23.6979923,etec-jardim-angela-ceu-feitico-da-vila
-46.7659416,-23.6979923,etec-jardim-angela-ceu-guarapiranga
-46.7659416,-23.6979923,etec-jardim-angela-ceu-vila-do-sol
-46.7659416,-23.6979923,etec-jardim-angela
-47.007803620633666,-21.472761233324334,etec-joao-baptista-de-lima-figueiredo
-47.0008934,-21.4739662,etec-joao-batista-de-lima-figueiredo-fatec-de-mococa-mario-robertson-de-syllos
-46.7650427,-22.7065477,etec-joao-belarmino
-47.2522385,-21.8271772,etec-joao-elias-margutti
-45.46929009999999,-22.9234542,etec-joao-gomes-de-araujo-fatec-de-pindamonhangaba
-45.46929009999999,-22.9234542,etec-joao-gomes-de-araujo
-49.9489873,-21.4585437,etec-joao-jorge-geraissate-emef-prof-victor-sansoni-avanhandava
-50.02252679999999,-21.3391038,etec-joao-jorge-geraissate
-46.83899780000001,-22.4462799,etec-joao-maria-stevanatto-fatec-ogali-de-castro-pacheco
-46.83899780000001,-22.4462799,etec-joao-maria-stevanatto
-48.384197,-22.369095,etec-joaquim-ferreira-do-amaral-emef-francisco-simoes-dois-corregos
-48.5627848,-22.2934452,etec-joaquim-ferreira-do-amaral-emef-prof-eurico-accolini-bariri
-48.5627848,-22.2934452,etec-joaquim-ferreira-do-amaral
-46.5781822,-23.6375198,etec-jorge-street-ceu-parque-bristol
-46.5781822,-23.6375198,etec-jorge-street-ee-prof-a-maria-trujilo-torloni
-46.5781822,-23.6375198,etec-jorge-street-fatec-antonio-russo
-46.5781822,-23.6375198,etec-jorge-street
-46.6969678,-23.6139788,etec-jornalista-roberto-marinho
-47.8023213,-21.1693982,etec-jose-martimiano-da-silva-ee-prof-a-amelia-dos-santos-musa
-47.8023213,-21.1693982,etec-jose-martimiano-da-silva-ee-winston-churchill
-48.1527369,-21.1882885,etec-jose-martimiano-da-silva-em-arminio-giraldi-barrinha
-47.8023213,-21.1693982,etec-jose-martimiano-da-silva-fatec-de-tecnologia-deputado-waldyr-alceu-trigo
-47.8023213,-21.1693982,etec-jose-martimiano-da-silva
-46.96395705329557,-23.54446347019604,etec-jose-miguel-soares
-46.5781814,-23.5834764,etec-jose-rocha-mendes
-46.53042019999999,-23.6597726,etec-julio-de-mesquita-ee-americo-brasiliense
-46.53042019999999,-23.6597726,etec-julio-de-mesquita
